Continent,Country,Name,Email,Website
AFRICA,Gabon,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
AFRICA,Gabon,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Gambia,WIRTGEN GmbH,salesmideast@wirtgen.de,
AFRICA,Gambia,JOSEPH VÖGELE AG,mauricio.mazzutti@voegele.info,
AFRICA,Gambia,HAMM AG,Laith.hamdani@hamm.eu,
AFRICA,Gambia,KLEEMANN GmbH,Markus.Krill@kleemann.info,
AFRICA,Gambia,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
AFRICA,Gambia,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Ghana,Tracto-Lena – Maquinas E Camioes S.A,martin.bataille@tracto-lena.com,
AFRICA,Guinea,"Movicortes Guinea Mining, SASU",nuno.santana@movicortes.pt,
AFRICA,Ivory Coast,Tracto-Lena Côte D'Ivoire,info-ci@tracto-lena.com,
AFRICA,Kenya,Rock Plant Kenya Ltd,pritpal@rock-plant.com,
AFRICA,Lesotho,WIRTGEN SOUTH AFRICA (Pty) Ltd.,sales.southafrica@wirtgen-group.com,
AFRICA,Liberia,WIRTGEN GmbH,salesmideast@wirtgen.de,
AFRICA,Liberia,WIRTGEN GmbH (only for Surface Mining Equipment),salesmideast@wirtgen.de,
AFRICA,Liberia,JOSEPH VÖGELE AG,mauricio.mazzutti@voegele.info,
AFRICA,Liberia,HAMM AG,Laith.hamdani@hamm.eu,
AFRICA,Liberia,KLEEMANN GmbH,Markus.Krill@kleemann.info,
AFRICA,Liberia,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
AFRICA,Liberia,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Libya,Altatweer Almutaliq Company for Import Asphalt & Road and Bridge Equipment (Co-Operation Partner of Tunisian WIRTGEN Group Dealer U.A.T ULYSSEE AFRICA TRADE),philipsali7@gmail.com,
AFRICA,Libya,U.A.T. ULYSSE AFRICA TRADE,Mohamed.Boughattas@utic.com.tn,
AFRICA,Madagascar,UMCL Ltd.,fred@umcl.mu,
AFRICA,Malawi,Machinery Spares and Trading Ltd,mst@fargomw.com,
AFRICA,Malawi,WIRTGEN SOUTH AFRICA (Pty) Ltd.,sales.southafrica@wirtgen-group.com,
AFRICA,Mali,Tracto-Lena – Maquinas E Camioes S.A,martin.bataille@tracto-lena.com,
AFRICA,Mauritania,Moviter / SMDM - Société Marocaine de Distribution de Matériel,a.lahrichi@movicortes-smdm.ma,
AFRICA,Mauritius,UMCL Ltd.,fred@umcl.mu,
AFRICA,Morocco,Moviter / SMDM - Société Marocaine de Distribution de Matériel,a.lahrichi@movicortes-smdm.ma,
AFRICA,Mozambique,"Movicortes Moçambique, Lda.",luis.bertao@movicortes.pt,
AFRICA,Namibia,Hoffmann’s Farm Implements,sales@jdeagri.com,
AFRICA,Namibia,WIRTGEN SOUTH AFRICA (Pty) Ltd.,sales.southafrica@wirtgen-group.com,
AFRICA,Niger,WIRTGEN GmbH,salesmideast@wirtgen.de,
AFRICA,Niger,JOSEPH VÖGELE AG,mauricio.mazzutti@voegele.info,
AFRICA,Niger,HAMM AG,Laith.hamdani@hamm.eu,
AFRICA,Niger,KLEEMANN GmbH,Markus.Krill@kleemann.info,
AFRICA,Niger,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
AFRICA,Niger,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Nigeria,SCOA TRAC (WIRTGEN only for Road Technologies),scoatrac@scoaplc.com,
AFRICA,Nigeria,WIRTGEN GmbH,salesmideast@wirtgen.de,
AFRICA,Republic of Congo,WIRTGEN GmbH,salesmideast@wirtgen.de,
AFRICA,Republic of Congo,JOSEPH VÖGELE AG,mauricio.mazzutti@voegele.info,
AFRICA,Republic of Congo,HAMM AG,Laith.hamdani@hamm.eu,
AFRICA,Republic of Congo,KLEEMANN GmbH,Markus.Krill@kleemann.info,
AFRICA,Republic of Congo,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
AFRICA,Republic of Congo,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Reunion,WIRTGEN FRANCE SAS,contact.france@wirtgen-group.com,
AFRICA,Reunion,BENNINGHOVEN Sales and Service in France,info@benninghoven.com,
AFRICA,Reunion,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Rwanda,Rock Plant Uganda Ltd,pritpal@rock-plant.com,
AFRICA,Senegal,Tracto-Lena – Maquinas E Camioes S.A,aliou.ka@tracto-lena.com,
AFRICA,Sierra Leone,WIRTGEN GmbH,salesmideast@wirtgen.de,
AFRICA,Sierra Leone,WIRTGEN GmbH (only for Surface Mining Equipment),salesmideast@wirtgen.de,
AFRICA,Sierra Leone,JOSEPH VÖGELE AG,mauricio.mazzutti@voegele.info,
AFRICA,Sierra Leone,HAMM AG,Laith.hamdani@hamm.eu,
AFRICA,Sierra Leone,KLEEMANN GmbH,Markus.Krill@kleemann.info,
AFRICA,Sierra Leone,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
AFRICA,Sierra Leone,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,Somalia,WIRTGEN GmbH,salesmideast@wirtgen.de,
AFRICA,Somalia,JOSEPH VÖGELE AG,mauricio.mazzutti@voegele.info,
AFRICA,Somalia,HAMM AG,Laith.hamdani@hamm.eu,
AFRICA,Somalia,KLEEMANN GmbH,Markus.Krill@kleemann.info,
AFRICA,Somalia,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
AFRICA,Somalia,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
AFRICA,South Africa,Compaction and Industrial Equipment C.C. (Western Cape),gottfried@compaction.co.za,
AFRICA,South Africa,Construction Equipment Supplies (Eastern Cape),rowan@construction-equip.co.za,
AFRICA,South Africa,WIRTGEN SOUTH AFRICA (Pty) Ltd,sales.southafrica@wirtgen-group.com,
AFRICA,South Africa,WIRTGEN SOUTH AFRICA (Pty) Ltd.,sales.southafrica@wirtgen-group.com,
AFRICA,South Sudan,Machine Afrik Co. Ltd.,info@machineafrik.com,
AFRICA,Sudan,Machine Afrik Co. Ltd.,info@machineafrik.com,
AFRICA,Swaziland,WIRTGEN SOUTH AFRICA (Pty) Ltd.,sales.southafrica@wirtgen-group.com,
AFRICA,Tanzania,Rock Plant Tanzania Ltd,pritpal@rock-plant.com,
AFRICA,Togo,Tracto-Lena – Maquinas E Camioes S.A,martin.bataille@tracto-lena.com,
AFRICA,Tunisia,SOTRADIES,hamdi.jemmali@utic.com.tn,
AFRICA,Uganda,Rock Plant Uganda Ltd,pritpal@rock-plant.com,
AFRICA,Zambia,WIRTGEN SOUTH AFRICA (Pty) Ltd.,sales.southafrica@wirtgen-group.com,
AFRICA,Zimbabwe,Machinery Exchange (pvt) Ltd,antony.dube@machinery-exchange.com,
AFRICA,Zimbabwe,WIRTGEN SOUTH AFRICA (Pty) Ltd.,sales.southafrica@wirtgen-group.com,
ASIA,Afghanistan,WIRTGEN GmbH,salesmideast@wirtgen.de,
ASIA,Afghanistan,JOSEPH VÖGELE AG,Rolf.Weibel@voegele.info,
ASIA,Afghanistan,HAMM AG,Laith.hamdani@hamm.eu,
ASIA,Afghanistan,KLEEMANN GmbH,Markus.Krill@kleemann.info,
ASIA,Afghanistan,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
ASIA,Armenia,WIRTGEN GEORGIA LLC,david.mkheidze@wirtgen-group.com,
ASIA,Azerbaijan,Az-Tex-Import GmbH,samir.ibadullayev@azteximport.az,
ASIA,Azerbaijan,WIRTGEN ANKARA Makina Sanayi ve Ticaret Ltd. Sti.,info.ankara@wirtgen-group.com,
ASIA,Bangladesh,ACE Business Systems Ltd.,acebsl1956@gmail.com,
ASIA,Bangladesh,Sayara Sorboraho & Nirman,,
ASIA,Bangladesh,WIRTGEN INDIA Pvt. Ltd.,Sales.india@wirtgen-group.com,
ASIA,Brunei,WIRTGEN (M) Sdn Bhd,wirtgen.malaysia@wirtgen-group.com,
ASIA,Cambodia,Multico Equipment & Parts Pte Ltd.,kntan@mep.multicoasia.com,
ASIA,Cambodia,"Multico MS (Cambodia) Co., Ltd",info@multicoasia.com,
ASIA,China,"WIRTGEN (CHINA) Machinery Co., Ltd.",marketing.china@wirtgen-group.com,
ASIA,China,"Wirtgen (China) Machinery Co., Ltd. Xi’an Office",marketing-xa.china@wirtgen-group.com,
ASIA,China,"WIRTGEN (CHINA) Machinery Co.,Ltd. Beijing Office",marketing-bj.china@wirtgen-group.com,
ASIA,China,"WIRTGEN (CHINA) Machinery Co.,Ltd. Office Shanghai",marketing-sh.china@wirtgen-group.com,
ASIA,China,"Wirtgen (Foshan) Machinery Co.,Ltd.",Marketing-fs.china@wirtgen-group.com,
ASIA,China,"Wirtgen (Taicang) Machinery Co., Ltd.",marketing-tc.china@wirtgen-group.com,
ASIA,China,WIRTGEN HONG KONG LTD.,marketing.hongkong@wirtgen-group.com,
ASIA,China,"WIRTGEN TAIWAN CO., LTD.",info.taiwan@wirtgen-group.com,
ASIA,Georgia,WIRTGEN GEORGIA LLC,david.mkheidze@wirtgen-group.com,
ASIA,India,,david.mkheidze@wirtgen-group.com,
ASIA,Indonesia,PT Gaya Makmur Tractors,sikku.yulius@gmtractors.net,
ASIA,Japan,,sikku.yulius@gmtractors.net,
ASIA,Kazakhstan,TOO Elcontech Qazaqstan,info@elcontech.kz,
ASIA,Kyrgyzstan,"ООО ""YO'LTEC""",yoltec.uz@gmail.com,
ASIA,Laos,Multico Equipment & Parts Pte Ltd.,kntan@mep.multicoasia.com,
ASIA,Laos,"Multico Equipment Lao Co., Ltd",information@mel.multicoasia.com,
ASIA,Malaysia,Dai Lieng Machinery Sdn. Bhd.,david.tiong@dailieng.com.my,
ASIA,Malaysia,WIRTGEN (M) Sdn Bhd,wirtgen.malaysia@wirtgen-group.com,
ASIA,Mongolia,HERA Equipment LLC,tuguldur@hera.mn,
ASIA,Mongolia,"WIRTGEN (CHINA) Machinery Co., Ltd.",marketing.china@wirtgen-group.com,
ASIA,Myanmar,"Aung Pyitan Co., Ltd",aungpyitan@ytp.com.mm,
ASIA,Nepal,Prime Associates Pvt. Ltd.,nepalmotors@gmail.com,
ASIA,Nepal,WIRTGEN INDIA Pvt. Ltd.,Sales.india@wirtgen-group.com,
ASIA,Pakistan,DEC Dynamic Equipment & Controls (Pvt.) Ltd.,imran.malik@dec.com.pk,
ASIA,Pakistan,BENNINGHOVEN Branch of Wirtgen Mineral Technologies GmbH,info@benninghoven.com,
ASIA,Papua New Guinea,WIRTGEN AUSTRALIA Pty Ltd,saleswa.australia@wirtgen-group.com,
ASIA,Philippines,Bayfield Equipment Corporation,john.silfavan@bayfieldequipment.com,
ASIA,Philippines,"Multico Prime Power, Inc.",mel@mppi.multicoasia.com,
ASIA,Singapore,Multico Equipment & Parts Pte Ltd.,kntan@mep.multicoasia.com,
ASIA,South Korea,"YK Construction Equipment Co.,LTD",ks_song@sunnyyk.co.kr,
ASIA,Sri Lanka,Senok Trade Combine Ltd,gerard@senoksl.com,
ASIA,Sri Lanka,WIRTGEN INDIA Pvt. Ltd.,Sales.india@wirtgen-group.com,
ASIA,"Taiwan, China","WIRTGEN (CHINA) Machinery Co., Ltd.",marketing.china@wirtgen-group.com,
ASIA,"Taiwan, China",WIRTGEN HONG KONG LTD.,marketing.hongkong@wirtgen-group.com,
ASIA,"Taiwan, China","WIRTGEN TAIWAN CO., LTD.",info.taiwan@wirtgen-group.com,
ASIA,Tajikistan,"ООО ""YO'LTEC""",yoltec.uz@gmail.com,
ASIA,Thailand,WIRTGEN (THAILAND) Co. Ltd.,Tatiya.Singhasut@wirtgen-group.com,
ASIA,Turkmenistan,Liamol Trading GmbH,office@ciseg.eu,
ASIA,Uzbekistan,"ООО ""YO'LTEC""",yoltec.uz@gmail.com,
ASIA,Vietnam,Vinh Phu General Joint Stock Corporation (VITRAC Corporation),vinhphu@vitrac.vn,
EASTERN EUROPE,Albania,Machinery Technology Company LLC,driton.mullarama@machinery-tech.com,
EASTERN EUROPE,Bosnia and Herzegovina,Ro-Tehnologija d.o.o.,sibrahimagic@rotech.ba,
EASTERN EUROPE,Bulgaria,WIRTGEN BULGARIA EOOD,office.bulgaria@wirtgen-group.com,
EASTERN EUROPE,Croatia,Ro-Tehnologija d.o.o.,info@rotech.hr,
EASTERN EUROPE,Czech Republic,Roads ČR s.r.o.,road.cr@road-group.info,
EASTERN EUROPE,Czech Republic,WIRTGEN ÖSTERREICH GmbH,roman.kadlec@wirtgen-group.com,
EASTERN EUROPE,Estonia,WIRTGEN EESTI OÜ,info.eesti@wirtgen-group.com,
EASTERN EUROPE,Hungary,WIRTGEN BUDAPEST Kft.,wirtgen.budapest@wirtgen-group.com,
EASTERN EUROPE,Kosovo,Machinery Technology Company LLC,driton.mullarama@machinery-tech.com,
EASTERN EUROPE,Latvia,WIRTGEN LATVIA SIA,wirtgen.latvia@wirtgen-group.com,
EASTERN EUROPE,Lithuania,UAB WIRTGEN LIETUVA,info.lietuva@wirtgen-group.com,
EASTERN EUROPE,Moldova,WIRTGEN ROMANIA S.R.L.,office.romania@wirtgen-group.com,
EASTERN EUROPE,Montenegro,W ASFALTNA TEHNIKA DOO,office@watehnika.rs,
EASTERN EUROPE,Poland,Powers Maszyny Sp. z o.o.,maszyny@powers.pl,
EASTERN EUROPE,Poland,WIRTGEN POLSKA Sp. z o.o.,Biuro.Polska@wirtgen-group.com,
EASTERN EUROPE,Republic of North Macedonia,W ASFALTNA TEHNIKA DOO,office@watehnika.rs,
EASTERN EUROPE,Romania,WIRTGEN ROMANIA S.R.L.,office.romania@wirtgen-group.com,
EASTERN EUROPE,Serbia,W ASFALTNA TEHNIKA DOO,office@watehnika.rs,
EASTERN EUROPE,Slovakia,Roads Slovensko s.r.o.,andrea.skripenova@road-group.info,
EASTERN EUROPE,Slovakia,WIRTGEN ÖSTERREICH GmbH,roman.kadlec@wirtgen-group.com,
EASTERN EUROPE,Slovenia,Ro-tehnologija d.o.o.,info@rotech.si,
EASTERN EUROPE,Ukraine,PIK WIRTGEN UKRAINE,info.ukraine@wirtgen-group.com,
LATIN AMERICA,Antigua and Barbuda,Resansil Inc,jl.matallana@resansil.com,
LATIN AMERICA,Argentina,COVEMA S.A.C.I. F.,ventas@covemasacif.com.ar,
LATIN AMERICA,Bahamas,Resansil Inc,jl.matallana@resansil.com,
LATIN AMERICA,Barbados,Resansil Inc,jl.matallana@resansil.com,
LATIN AMERICA,Bolivia,Nibol Ltda,nibol@nibol.com.bo,
LATIN AMERICA,Brazil,,nibol@nibol.com.bo,
LATIN AMERICA,Chile,Salinas Y Fabres S.A.,jdaly@salfa.cl,
LATIN AMERICA,Colombia,CasaToro S.A.,daniel.gomez@casatoro.com,
LATIN AMERICA,Costa Rica,Corporacion Ven-Resansil Costa Rica SA,g.raffensperger@resansil.com,
LATIN AMERICA,Dominican Republic,Resansil RD SA,infodo@resansil.com,
LATIN AMERICA,Ecuador,DITECA S.A.,mmoral@diteca.com,
LATIN AMERICA,El Salvador,Resansil SA,b.duarte@resansil.com,
LATIN AMERICA,French Guiana,WIRTGEN FRANCE SAS,contact.france@wirtgen-group.com,
LATIN AMERICA,French Guiana,BENNINGHOVEN Sales and Service in France,info@benninghoven.com,
LATIN AMERICA,French Guiana,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
LATIN AMERICA,Guadeloupe,WIRTGEN FRANCE SAS,contact.france@wirtgen-group.com,
LATIN AMERICA,Guadeloupe,BENNINGHOVEN Sales and Service in France,info@benninghoven.com,
LATIN AMERICA,Guadeloupe,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
LATIN AMERICA,Guatemala,Resansil Guatemala SA,b.duarte@resansil.com,
LATIN AMERICA,Guyana,Resansil Inc,jl.matallana@resansil.com,
LATIN AMERICA,Honduras,Resansil Guatemala SA,b.duarte@resansil.com,
LATIN AMERICA,Jamaica,Resansil Inc,jl.matallana@resansil.com,
LATIN AMERICA,Martinique,WIRTGEN FRANCE SAS,contact.france@wirtgen-group.com,
LATIN AMERICA,Martinique,BENNINGHOVEN Sales and Service in France,info@benninghoven.com,
LATIN AMERICA,Martinique,Ciber Equipamentos Rodoviarios Ltda.,ciber@ciber.com.br,
LATIN AMERICA,Mexico,DIMANOR - Wirtgen Group,luis.pinto@dimanor.com.mx,
LATIN AMERICA,Mexico,Dimanor Cabos,daraos@dimanor.com.mx,
LATIN AMERICA,Mexico,Dimanor Chihuahua,jhernandez@dimanor.com.mx,
LATIN AMERICA,Mexico,Dimanor Culiacán,oovalles@dimanor.com.mx,
LATIN AMERICA,Mexico,Dimanor Guadalajara,eliud.salgero@dimanor.com.mx,
LATIN AMERICA,Mexico,Dimanor Hermosillo,rmarrufo@dimanor.com.mx,
LATIN AMERICA,Mexico,Dimanor Juárez,juan.solorio@dimanor.com.mx,
LATIN AMERICA,Mexico,Dimanor Tijuana,jesus.aramburo@dimanor.com.mx,
LATIN AMERICA,Nicaragua,Corporacion Ven-Resansil Costa Rica SA,g.raffensperger@resansil.com,
LATIN AMERICA,Panama,Resansil Rental SA,a.haro@resansil.com,
LATIN AMERICA,Paraguay,KUROSU & CIA S.A.,kurosu@kurosu.com.py,
LATIN AMERICA,Peru,IPESA S.A.C.,ahuaman@ipesa.com.pe,
LATIN AMERICA,Puerto Rico,Resansil Puerto Rico Inc.,s.asencio@resansil.com,
LATIN AMERICA,Saint Lucia,Resansil Inc,jl.matallana@resansil.com,
LATIN AMERICA,Suriname,Resansil Inc,jl.matallana@resansil.com,
LATIN AMERICA,Trinidad and Tobago,Resansil Inc,jl.matallana@resansil.com,
LATIN AMERICA,Uruguay,Interagrovial S.A.,contactowirtgen@isa.com.uy,
LATIN AMERICA,Venezuela,Inversiones Resansil CA,v.ladines@resansil.com,
MIDDLE EAST,Bahrain,Synergy International,jrcastro@synergyim.com,
MIDDLE EAST,Egypt,ACE Arabian Company for Engineering,Sales@ace-egypt.info,
MIDDLE EAST,Iraq,Al-Ghalib Co. Ltd.,Mohammed.ali@alghalib.org,
MIDDLE EAST,Iraq,Al-Ghalib Co. Ltd. - Office Basra,mushtaqkadhim@alghalib.com,
MIDDLE EAST,Iraq,Al-Ghalib Co. Ltd. - Office Erbil,ali.zuhair@alghalib.org,
MIDDLE EAST,Israel,C L A - Earth Moving Equipment,maoz@cla.co.il,
MIDDLE EAST,Jordan,The Near East Equipment Co. L.L.,sales@neec.com.jo,
MIDDLE EAST,Kuwait,Al- Mahhar Al- Kuwaitiyya for Light and Heavy Equipment and Machines,info@al-mahhar.com,
MIDDLE EAST,Lebanon,Cyber Roads,leo@cyberroads.com,
MIDDLE EAST,Oman,Arabian Engineering Services LLC,productsales@cedaesoman.com,
MIDDLE EAST,Palestinian Territories,C L A - Earth Moving Equipment,maoz@cla.co.il,
MIDDLE EAST,Qatar,European Equipment Company,qfab@qatar.net.qa,
MIDDLE EAST,Saudi Arabia,Bakheet Company for machinery,info@bakheet.com.sa,
MIDDLE EAST,Saudi Arabia,WIRTGEN GmbH (only for Surface Mining Equipment),salesmideast@wirtgen.de,
MIDDLE EAST,Turkey,WIRTGEN ANKARA Mak.San ve Tic.Ltd.Şti. - Elazığ Şubesi,info.ankara@wirtgen-group.com,
MIDDLE EAST,Turkey,WIRTGEN ANKARA Mak.San ve Tic.Ltd.Şti. - İstanbul Şubesi,info.ankara@wirtgen-group.com,
MIDDLE EAST,Turkey,WIRTGEN ANKARA Makina Sanayi ve Ticaret Ltd. Sti.,info.ankara@wirtgen-group.com,
MIDDLE EAST,United Arab Emirates,GENAVCO L.L.C.,equipment@genavco.com,
MIDDLE EAST,United Arab Emirates,Quarry Mining LLC (Stationary Equipment),info@quarrymining.net,
MIDDLE EAST,Yemen,AFCO for Heavy Equipment,afco@abuamergroup.com,
MIDDLE EAST,Yemen,WIRTGEN GmbH,salesmideast@wirtgen.de,
MIDDLE EAST,Yemen,HAMM AG,Laith.hamdani@hamm.eu,
MIDDLE EAST,Yemen,KLEEMANN GmbH,Markus.Krill@kleemann.info,
NORTH AMERICA,Canada,,afco@abuamergroup.com,
NORTH AMERICA,Canada,,salesmideast@wirtgen.de,
NORTH AMERICA,Canada,,Laith.hamdani@hamm.eu,
NORTH AMERICA,Canada,,Markus.Krill@kleemann.info,
NORTH AMERICA,United States,,afco@abuamergroup.com,
NORTH AMERICA,United States,,salesmideast@wirtgen.de,
NORTH AMERICA,United States,,Laith.hamdani@hamm.eu,
NORTH AMERICA,United States,,Markus.Krill@kleemann.info,
OCEANIA,Australia,,afco@abuamergroup.com,
OCEANIA,Australia,,salesmideast@wirtgen.de,
OCEANIA,Australia,,Laith.hamdani@hamm.eu,
OCEANIA,Australia,,Markus.Krill@kleemann.info,
OCEANIA,New Zealand,WIRTGEN AUSTRALIA Pty Ltd,sales.newzealand@wirtgen-group.com,
WESTERN EUROPE,Austria,WIRTGEN ÖSTERREICH GmbH,office.at@wirtgen-group.com,
WESTERN EUROPE,Belgium,WIRTGEN BELGIUM B.V.,wirtgen.belgium@wirtgen-group.com,
WESTERN EUROPE,Belgium,BENNINGHOVEN Sales and Service in Belgium,info@benninghoven.com,
WESTERN EUROPE,Cyprus,Uniplant Ltd.,sales@uniplant.com,
WESTERN EUROPE,Denmark,WIRTGEN DENMARK A/S,wirtgen.denmark@wirtgen-group.com,
WESTERN EUROPE,Faroe Islands,WIRTGEN DENMARK A/S,wirtgen.denmark@wirtgen-group.com,
WESTERN EUROPE,Finland,WIRTGEN FINLAND Oy,info.finland@wirtgen-group.com,
WESTERN EUROPE,France,,info.finland@wirtgen-group.com,
WESTERN EUROPE,Germany,,info.finland@wirtgen-group.com,
WESTERN EUROPE,Great Britain,WIRTGEN LIMITED,sales.gb@wirtgen-group.com,
WESTERN EUROPE,Greece,Helma S.A.,helma@helma.gr,
WESTERN EUROPE,Greenland,WIRTGEN DENMARK A/S,wirtgen.denmark@wirtgen-group.com,
WESTERN EUROPE,Iceland,WIRTGEN DENMARK A/S,wirtgen.denmark@wirtgen-group.com,
WESTERN EUROPE,Ireland,WIRTGEN IRELAND Limited,office.ireland@wirtgen-group.com,
WESTERN EUROPE,Italy,,office.ireland@wirtgen-group.com,
WESTERN EUROPE,Liechtenstein,Gurtner Baumaschinen AG,info@gurtner-baumaschinen.ch,
WESTERN EUROPE,Luxembourg,WIRTGEN DEUTSCHLAND Vertriebs- und Service GmbH,info.deutschland@wirtgen-group.com,
WESTERN EUROPE,Luxembourg,BENNINGHOVEN Sales and Service in Luxembourg,info@benninghoven.com,
WESTERN EUROPE,Malta,MACHINEX LIMITED,nicky@machinex.mt,
WESTERN EUROPE,Malta,WIRTGEN MACCHINE Srl.,Info_Wirtgen_Italy@wirtgengroup.com,
WESTERN EUROPE,Monaco,WIRTGEN FRANCE SAS,contact.france@wirtgen-group.com,
WESTERN EUROPE,Monaco,BENNINGHOVEN Sales and Service in France,info@benninghoven.com,
WESTERN EUROPE,Netherlands,WIRTGEN NEDERLAND B.V.,sales.nederland@wirtgen-group.com,
WESTERN EUROPE,Netherlands,BENNINGHOVEN Sales and Service in the Netherlands,info@benninghoven.com,
WESTERN EUROPE,Norway,NASTA AS,post@nasta.no,
WESTERN EUROPE,Norway,WIRTGEN NORWAY AS,post.norway@wirtgen-group.com,
WESTERN EUROPE,Portugal,MOVITER - Equipamentos Lda.,moviter@movicortes.pt,
WESTERN EUROPE,Portugal,MOVITER - Equipamentos Lda.,nuno.santana@movicortes.pt,
WESTERN EUROPE,Portugal,MOVITER - Equipamentos Lda.,moviter@movicortes.pt,
WESTERN EUROPE,Portugal,MOVITER - Equipamentos Lda.,moviter@movicortes.pt,
WESTERN EUROPE,Portugal,MOVITER - Equipamentos Lda.,moviter@movicortes.pt,
WESTERN EUROPE,Spain,EMSA Maquinaria y Proyectos S.L.,comercial@grupoemsa.es,
WESTERN EUROPE,Sweden,WIRTGEN SWEDEN AB,info.sweden@wirtgen-group.com,
WESTERN EUROPE,Sweden,WIRTGEN SWEDEN AB,info.sweden@wirtgen-group.com,
WESTERN EUROPE,Sweden,WIRTGEN SWEDEN AB,info.sweden@wirtgen-group.com,
WESTERN EUROPE,Switzerland,Gurtner Baumaschinen AG,info@gurtner-baumaschinen.ch,
